"danish","swedish","pos","example_da","example_sv","note","deck","cefr","tags","accepted","audio","audio_example","rank"
"frelse","frälsning","noun","","","","praksis-religion-tro-b2","b2","","","audio/da-119bac5fcf4a85.mp3","","5070"
"mulighed","möjlighet","noun","Har du mulighed for at komme på fredag?","Har du möjlighet att komma på fredag?","","praksis-abstrakte-begreber-b1","b1","","","audio/da-18bf59f43aa3aa.mp3","","1007"
"reb","rep","noun","","","","praksis-materialer-stoffer-b1","b1","","","audio/da-1ec5a08cc39699.mp3","","3942"
"sandpapir","sandpapper","noun","","","","praksis-vaerktoej-diy-b1","b1","","slibepapir","audio/da-170612b85398f4.mp3","","34989"
"spartle","spackla","verb","","","","praksis-byggeri-b2","b2","","sparkle","audio/da-167bec12cc349d.mp3","",""
"pløje","plöja","verb","","","","praksis-landbrug-b1","b1","","","audio/da-10d7c26b237f62.mp3","","25889"
"teskefuld","tesked","noun","","","","praksis-maal-vaegt-b2","b2","","","audio/da-0c7b43c14db8cc.mp3","",""
"nede","nere","adv","Han venter på dig nede i receptionen.","Han väntar på dig nere i receptionen.","","praksis-retninger-placering-b1","b1","","","audio/da-1936471f339e02.mp3","","656"
"indbygger","invånare","noun","","","","praksis-samfundsgrupper-b1","b1","","","audio/da-1b3d1225e02ec0.mp3","","28226"
"undertiden","ibland","adv","","","","praksis-adverbier-tid-b2","b2","","nogle gange|sommetider","audio/da-0d948b446134e0.mp3","","17918"
"sjovt","roligt (kul)","adv","Det var rigtig sjovt til festen i går.","Det var riktigt kul på festen igår.","","praksis-adverbier-maade-b1","b1","","morsomt","audio/da-09c61fa55d1661.mp3","","394"
"især","i synnerhet, särskilt","adv","Han elsker sport, især fodbold og håndbold.","Han älskar sport, särskilt fotboll och handboll.","","praksis-adverbier-grad-b1","b1","","","audio/da-05e4ac8316b726.mp3","","1158"
"inde","inne","adv","Er katten inde eller ude?","Är katten inne eller ute?","","praksis-adverbier-sted-b1","b1","","","audio/da-083de15c983187.mp3","","399"
"grundet","på grund av","other","","","","praksis-forholdsord-b2","b2","","","audio/da-04f2b7b536ea7f.mp3","","6579"
"endvidere","vidare (dessutom)","adv","","","","praksis-bindeord-diskurs-b2","b2","","","audio/da-1242e3b3086a3c.mp3","","36017"
"hinanden","varandra","other","De ringer til hinanden hver dag.","De ringer varandra varje dag.","","praksis-spoergeord-pron-b1","b1","","","audio/da-02e8fe2db8702e.mp3","","321"
"ellers","annars","adv","Husk din paraply, ellers bliver du våd.","Ta med paraplyet, annars blir du blöt.","","praksis-smaaord-fyldord-b1","b1","","","audio/da-078b2286324212.mp3","","255"
"skuffe","göra besviken","verb","","","","praksis-falske-venner-verber-b2","b2","","","audio/da-1f7f633e3b81bf.mp3","","3549"
"købe ind","handla mat","phrase","","","","praksis-hverdag-rutiner-b1","b1","","","audio/da-194da7d4565887.mp3","",""
"skræmt","skrämd","adj","","","","praksis-foelelser-udtryk-b2","b2","","","audio/da-0be8a0c5e805c9.mp3","","3543"
"vink","vink (tecken)","noun","","","","praksis-kropssprog-b1","b1","","","audio/da-1848375e19ad53.mp3","","8527"
"drøne","dåna","verb","","","","praksis-lyde-stoej-b2","b2","","","audio/da-0b38fdd0a09896.mp3","","35390"
"vende sig","vända sig","verb","","","","praksis-positioner-b1","b1","","","audio/da-1503a80a1c5511.mp3","",""
"hasselnød","hasselnöt","noun","","","","praksis-mad-avanceret-b1","b1","","","audio/da-16e73294b3296b.mp3","","49809"
"kompetence","kompetens","noun","","","","praksis-arbejde-b2","b2","","","audio/da-1dfd434f166d33.mp3","","26718"
"ilt","syre","noun","","","","praksis-videnskab-b2","b2","","","audio/da-19eb39450bca19.mp3","","4346"
"domsmand","nämndeman","noun","","","","praksis-lov-b2","b2","","","audio/da-19f4bc177a05b2.mp3","",""
"statskasse","statskassa","noun","","","","praksis-politik-b2","b2","","","audio/da-0b2ebc5b67ea69.mp3","",""
"siv","säv (vass)","noun","","","","praksis-natur-b2","b2","","","audio/da-0187b5248e0bf0.mp3","","29160"
"trække vejret","andas","verb","","","","praksis-sundhed-b2","b2","","ånde","audio/da-16f0ed8cb59775.mp3","",""
"leje","lager (kullager)","noun","","","","praksis-teknologi-b2","b2","falsk-ven","","audio/da-1f6ebe67a21b25.mp3","","3726"
"forståelse","förståelse","noun","","","","praksis-abstrakt-b1","b1","","","audio/da-1c076b6747c65a.mp3","","5085"
"overtale","övertala","verb","","","","praksis-kommunikation-b2","b2","","","audio/da-1a39923f9fe008.mp3","","4231"
"middelklasse","medelklass","noun","","","","praksis-samfund-b2","b2","","","audio/da-1cdd8fdc0c17e1.mp3","","29080"
"udlevering","utlämning","noun","","","","praksis-handel-b2","b2","","","audio/da-1dd53f8baffa76.mp3","","22413"
"udenadslære","utantillinlärning","noun","","","","praksis-uddannelse-b2","b2","","","audio/da-1b182bda64638d.mp3","",""
"vis","vis (klok)","adj","Min farfar var en meget vis gammel mand.","Min farfar var en mycket vis gammal man.","","praksis-filosofi-b1","b1","","","audio/da-0f60bc5a392961.mp3","","584"
"herredømme","herravälde","noun","","","","praksis-historie-b2","b2","","","audio/da-0da8e5ab231321.mp3","","13515"
"solskin","solsken","noun","","","","praksis-vejr-b1","b1","","","audio/da-08ee77590b641c.mp3","","9266"
"tandkød","tandkött","noun","","","","praksis-krop-b2","b2","","","audio/da-061cac61df63d7.mp3","","47830"
"dryppe af","låta rinna av","phrase","","","","praksis-foedevarer-b2","b2","","","audio/da-0f3420442a4490.mp3","",""
"ledersamtale","medarbetarsamtal","noun","","","","praksis-arbejdsmarked-b2","b2","","","audio/da-1a818f1ba7adbd.mp3","",""
"rækkehus","radhus","noun","","","","praksis-bolig-b2","b2","","","audio/da-1fd9392ed45b00.mp3","",""
"drivhuseffekt","växthuseffekt","noun","","","","praksis-miljoe-b2","b2","","","audio/da-0636fe3bf38a43.mp3","",""
"strømsvigt","strömavbrott","noun","","","","praksis-energi-b2","b2","","","audio/da-16d04b9c514ed1.mp3","","18411"
"rundrejse","rundresa","noun","","","","praksis-rejse-b2","b2","","","audio/da-039710a22429f8.mp3","",""
"sejl","segel","noun","","","","praksis-fritid-b1","b1","","","audio/da-1a938316277d14.mp3","","7072"
"støtte","stötta (stödja)","verb","Vi skal støtte hinanden, når det bliver svært.","Vi ska stötta varandra när det blir svårt.","","praksis-relationer-b1","b1","","","audio/da-12144b36878846.mp3","","1303"
"til sidst","till sist (slutligen)","phrase","","","","praksis-tid-b1","b1","","","audio/da-1c9436a1156365.mp3","",""
"forhammer","slägga (liten)","noun","","","","praksis-snedker-toemrer-b2","b2","","","audio/da-0f9797db43211b.mp3","","29043"
"rulleskifte","rullskift","noun","","","","praksis-murer-b2","b2","","","audio/da-038a54986de116.mp3","",""
"samling","skarv (rörfog)","noun","","","","praksis-vvs-blik-b1","b1","falsk-ven","","audio/da-095858f7027647.mp3","","3655"
"overbelastning","överbelastning","noun","","","","praksis-elektriker-b2","b2","","","audio/da-110dc614106ea8.mp3","","22522"
"malertape","målartejp","noun","","","","praksis-maler-dekoration-b2","b2","","","audio/da-1aebe5e32764cb.mp3","",""
"stempel","kolv","noun","","","","praksis-mekaniker-b2","b2","","","audio/da-19265c8bc90265.mp3","","15503"
"nitte","nita","verb","","","","praksis-smed-metal-b2","b2","","","audio/da-186896beb1c2fb.mp3","","27357"
"sprætte","sprätta (upp söm)","verb","","","","praksis-syning-skraedder-b2","b2","","","audio/da-1be4ea8c210491.mp3","","27221"
"barbere","raka","verb","","","","praksis-frisoer-b1","b1","","","audio/da-16c68bdbc0f3f6.mp3","","9275"
"plante om","plantera om","phrase","","","","praksis-gartner-detalje-b1","b1","","","audio/da-038c033e4994e5.mp3","",""
"flormelis","florsocker","noun","","","","praksis-bager-konditor-b2","b2","","","audio/da-01f5fc3eba1529.mp3","",""
"højreb","entrecôte/ryggbiff","noun","","","","praksis-slagter-b2","b2","","","audio/da-1b121a267fdebb.mp3","",""
"ruse","ryssja (mjärde)","noun","","","","praksis-fisker-b2","b2","","","audio/da-055ca415ba92af.mp3","",""
"møg","dynga","noun","","","","praksis-landmand-detalje-b2","b2","","","audio/da-1dab18c0eb7123.mp3","","3700"
"timian","timjan","noun","","","","praksis-krydderier-b2","b2","","","audio/da-018bb8337548a1.mp3","","39903"
"hyld","fläder","noun","","","","praksis-urter-b2","b2","","","audio/da-13d6b6d6270ba7.mp3","","46551"
"trompetsvamp","trattkantarell","noun","","","","praksis-svampe-b2","b2","","","audio/da-146facb64fb297.mp3","",""
"nøddeknækker","nötknäppare","noun","","","","praksis-noedder-froe-b2","b2","","","audio/da-1a7ea6cbdcda4f.mp3","","47870"
"smøreost","smältost (bredbar ost)","noun","","","","praksis-mejeri-detalje-b1","b1","","","audio/da-002457dd4b214a.mp3","",""
"rejesalat","räkröra","noun","","","","praksis-paalaeg-b1","b1","","","audio/da-01c4cb18c01347.mp3","",""
"brunsviger","sockerkaka med smält farin","noun","","","","praksis-kager-desserter-b2","b2","","","audio/da-1195211de51066.mp3","",""
"suppeudtræk","buljongbas (urdrag till soppa)","noun","","","","praksis-supper-gryder-b2","b2","","","audio/da-1ce7a4f492e3f8.mp3","",""
"løgsovs","löksås","noun","","","","praksis-saucer-dressing-b1","b1","","","audio/da-03d7ac5c371a54.mp3","",""
"røgning","rökning (av mat)","noun","","","","praksis-konserves-holdbar-b1","b1","","","audio/da-0b6215a2ebb85a.mp3","",""
"taks","idegran","noun","","","","praksis-traeer-arter-b2","b2","","","audio/da-0acd15882647db.mp3","",""
"kabbeleje","kabbleka","noun","","","","praksis-blomster-arter-b2","b2","","","audio/da-1f69b08782efd0.mp3","",""
"sej","gråsej (sej)","noun","","","","praksis-fisk-arter-b2","b2","falsk-ven","","audio/da-18c69757769f33.mp3","",""
"sølvkræ","silverfisk","noun","","","","praksis-insekter-arter-b2","b2","","","audio/da-111f338e31c622.mp3","",""
"bynkefugl","buskskvätta","noun","","","","praksis-fugle-arter-b2","b2","","","audio/da-1b42d0a34c0a8a.mp3","",""
"snefog","snödrev","noun","","","","praksis-vejrfaenomener-b2","b2","","","audio/da-1186aa63379c2c.mp3","",""
"forstening","förstening (fossil)","noun","","","","praksis-geologi-mineraler-b2","b2","","","audio/da-0d53ddd2ba06fe.mp3","",""
"dyb","djup (segelränna)","noun","","","","praksis-vand-hav-b2","b2","","","audio/da-15d2d0e192f020.mp3","","2914"
"stjernebillede","stjärnbild","noun","","","","praksis-astronomi-himmel-b2","b2","","","audio/da-11ea5a39f062e3.mp3","",""
"håndrod","handlov","noun","","","","praksis-skelet-knogler-b2","b2","","","audio/da-0356031b9634bd.mp3","",""
"slidgigt","artros","noun","","","","praksis-muskler-led-b2","b2","","","audio/da-19c88268222326.mp3","",""
"vandskræk","rabies (vattuskräck)","noun","","","","praksis-sygdomme-konkrete-b2","b2","","","audio/da-18f6c70928bea8.mp3","",""
"jag","hugg (smärta)","noun","","","","praksis-symptomer-detalje-b2","b2","falsk-ven","","audio/da-1e71e6d7e1b6b2.mp3","","6330"
"plejehjem","vårdhem (äldreboende)","noun","","","","praksis-hospital-afdeling-b1","b1","","","audio/da-1794a90b19db01.mp3","","8622"
"tandpasta","tandkräm","noun","","","","praksis-tandlaege-b1","b1","","","audio/da-0e3d536955a1a0.mp3","","14894"
"krisehjælp","krishjälp","noun","","","","praksis-mental-sundhed-b2","b2","","","audio/da-1c17eb5d7488f2.mp3","",""
"misfald","missfall","noun","","","","praksis-graviditet-foedsel-b2","b2","","","audio/da-08559fc01a69e6.mp3","",""
"kvæles","kvävas","verb","","","","praksis-foerstehjaelp-b2","b2","","","audio/da-1fd3ccc330c6b1.mp3","","10731"
"badekåbe","badrock","noun","","","","praksis-badevaerelse-b1","b1","","","audio/da-15c0c84dd25abf.mp3","","19088"
"persienne","persienn","noun","","","","praksis-sovevaerelse-b2","b2","","","audio/da-06432cabb27dda.mp3","",""
"løvrive","lövräfsa","noun","","","","praksis-have-redskaber-b2","b2","","","audio/da-0626039cef869f.mp3","",""
"blænding","bländning","noun","","","","praksis-belysning-b2","b2","","","audio/da-0e070c860d685b.mp3","",""
"loftrosette","takros (takrosett)","noun","","","","praksis-gulv-vaeg-loft-b2","b2","","","audio/da-05133afecee641.mp3","",""
"tærskel","tröskel","noun","","","","praksis-vinduer-doere-b2","b2","","dørtrin","audio/da-1d8d41c8c41888.mp3","","42982"
"udlufte","vädra","verb","","","","praksis-opvarmning-b1","b1","","lufte ud","audio/da-0e9d58e46f5254.mp3","",""
"stuve","stuva (packa in)","verb","","","","praksis-opbevaring-b2","b2","","","audio/da-034949d1b437b3.mp3","",""
"speedometer","hastighetsmätare","noun","","","","praksis-bilens-dele-b1","b1","","","audio/da-18517946d116d3.mp3","",""
"krank","vevparti","noun","","","","praksis-cykel-dele-b2","b2","","","audio/da-114f3957f1ad40.mp3","",""
"flip","slag (kavajslag/krage)","noun","","","","praksis-toej-detaljer-b2","b2","","","audio/da-1e4f55481917b4.mp3","","14343"
"krølle","skrynkla/krulla","verb","","","","praksis-stof-tekstiler-b2","b2","","","audio/da-1d3c7de034d781.mp3","","20877"
"kæde","kedja","noun","","","","praksis-smykker-ure-b1","b1","","","audio/da-071e5c35d87c4f.mp3","","7963"
"hårpleje","hårvård","noun","","","","praksis-makeup-pleje-b1","b1","","","audio/da-13e1a70cbef39a.mp3","",""
"autostol","bilbarnstol","noun","","","","praksis-baby-udstyr-b2","b2","","","audio/da-14dd531a7c28f9.mp3","",""
"fyldepen","reservoarpenna","noun","","","","praksis-kontorartikler-b2","b2","","","audio/da-1b0952a09a0c08.mp3","","36499"
"vaffeljern","våffeljärn","noun","","","","praksis-koekkenmaskiner-b2","b2","","","audio/da-1d4cac8fd43029.mp3","",""
"tøbrud","tö (när snön smälter)","noun","","","","praksis-vintersport-b2","b2","","","audio/da-0de5c321fab882.mp3","",""
"rygsvømning","ryggsim","noun","","","","praksis-vandsport-b2","b2","","","audio/da-1155ba2b84e819.mp3","",""
"bålplads","eldplats","noun","","","","praksis-friluftsliv-b2","b2","","","audio/da-102d813bab7d87.mp3","",""
"melde","buda/anmäla (i kortspel)","verb","","","","praksis-braetspil-kort-b2","b2","","","audio/da-1e8747b4c43b53.mp3","","2981"
"slå op","lägga upp (maskor)","phrase","","","","praksis-haandarbejde-b2","b2","","","audio/da-0eaecb83c0dea2.mp3","",""
"røge","röka (om mat)","verb","","","","praksis-madlavning-teknik-b2","b2","","","audio/da-144bbb005ac34d.mp3","",""
"tilsætte","tillsätta","verb","","","","praksis-bagning-teknik-b2","b2","","","audio/da-12c8d7f3f0a32f.mp3","","42297"
"sprutte","spraka (fräsa)","verb","","","","praksis-lyd-verber-b2","b2","","","audio/da-162146320afb86.mp3","",""
"snerpe","dra ihop, snörpa","verb","","","","praksis-hand-handlinger-b2","b2","","","audio/da-18df7631c0dd60.mp3","",""
"snøvle","tala i näsan, sluddra","verb","","","","praksis-tale-maader-b2","b2","","","audio/da-0584d1cbb0d3af.mp3","",""
"myse","kisa","verb","","","","praksis-grine-graede-b2","b2","","","audio/da-0769b87edd2099.mp3","",""
"spurte","spurta","verb","","","","praksis-bevaegelse-praecis-b2","b2","","","audio/da-175936012689f4.mp3","","30746"
"surmule","sura, tjura","verb","","","","praksis-ansigtsudtryk-b2","b2","","","audio/da-0bbe03edab2a99.mp3","","15711"
"skinsyg","svartsjuk","adj","","","","praksis-karaktertraek-neg-b2","b2","","","audio/da-0c13501e3856ba.mp3","","48185"
"sagtmodig","saktmodig, mild","adj","","","","praksis-karaktertraek-pos-b2","b2","","","audio/da-188735721b76cd.mp3","",""
"gakket","knäpp (galen)","adj","","","","praksis-humoer-nuancer-b2","b2","","","audio/da-06e47a3bf30002.mp3","",""
"sondre","skilja mellan","verb","","","","praksis-tankeprocesser-b2","b2","","","audio/da-115c40dbd54525.mp3","","33301"
"tilskyndende","sporrande","adj","","","","praksis-vilje-motivation-b2","b2","","","audio/da-0ef5ee1c86081e.mp3","",""
"forkastelig","förkastlig","adj","","","","praksis-moral-etik-b2","b2","","","audio/da-0bc392bc6322dc.mp3","",""
"forurettet","kränkt, orättvist behandlad","adj","","","","praksis-konflikt-forsoning-b2","b2","","","","","44013"
"snyderi","fusk","noun","","","","praksis-tillid-svig-b2","b2","","snyd","audio/da-0af4cafff3fec0.mp3","","37101"
"betænksom","betänksam (eftertänksam)","adj","","","","praksis-beslutning-plan-b2","b2","","","audio/da-1ebdeff0e9b4f2.mp3","","13988"
"gribe an","gripa sig an, angripa (problem)","verb","","","","praksis-problem-loesning-b2","b2","","","audio/da-0097fe1cd9fa72.mp3","",""
"sladder","skvaller","noun","","","","praksis-kommunikationsstil-b2","b2","","","audio/da-01c138f115a461.mp3","","7357"
"omgængelig","sällskaplig/lättsam","adj","","","","praksis-social-adfaerd-b2","b2","","","audio/da-16f08225f43318.mp3","",""
"lidenskab","passion","noun","","","","praksis-foelelser-staerke-b2","b2","","","audio/da-1850bea9d244a8.mp3","","5656"
"afkalkningsmiddel","avkalkningsmedel","noun","","","","praksis-rengoeringsmidler-b2","b2","","","audio/da-0ed7bfa265d353.mp3","",""
"svensknøgle","rörtång","noun","","","","praksis-vaerktoejskasse-b2","b2","","","audio/da-06531b57b285f8.mp3","",""
"kork","kork (material/propp)","noun","","","","praksis-emballage-b1","b1","","","","",""
"krans","krans; ring","noun","","","","praksis-former-moenstre-b1","b1","","","","","26984"
"riflet","räfflad","adj","","","","praksis-tekstur-overflade-b2","b2","","","","",""
"luns","stort stycke (t.ex. kött)","noun","","","","praksis-mængder-portioner-b2","b2","","","","","36480"
"luder","hora","noun","","","","praksis-slang-talesprog-b2","b2","","","","","1645"
"kravle","klättra (kravla)","verb","","","","praksis-verber-bevaegelse-b1","b1","","klatre","","","6016"
"skælde ud","skälla ut","verb","","","","praksis-verber-kommunikation-b2","b2","","","","",""
"overveje","överväga","verb","","","","praksis-verber-taenkning-b2","b2","","","","","2166"
"græde","gråta","verb","","","","praksis-verber-foelelser-b1","b1","","","","","1801"
"mærke","känna (förnimma)","verb","Kan du mærke, hvor koldt det er blevet?","Känner du hur kallt det har blivit?","","praksis-verber-sansning-b1","b1","","føle","","","674"
"hænge","hänga","verb","","","","praksis-verber-haandtering-b1","b1","","","","","1641"
"mindske","minska","verb","","","","praksis-verber-forandring-b1","b1","","","","","13894"
"gennemføre","genomföra","verb","","","","praksis-verber-arbejde-b2","b2","","","","","5314"
"rede seng","bädda","verb","","","","praksis-verber-husarbejde-b1","b1","","","","",""
"stege","steka","verb","","","","praksis-verber-madlavning-b1","b1","","","","","12170"
"række ud","sträcka sig (efter)","phrase","","","","praksis-verber-krop-b1","b1","","","","",""
"le","skratta","verb","","","","praksis-verber-social-b2","b2","falsk-ven","grine","","","3204"
"snyde","lura, fuska","verb","","","","praksis-verber-konflikt-b1","b1","","","","","3117"
"reservere","reservera, boka","verb","","","","praksis-verber-tid-b1","b1","","","","","20796"
"overføre","överföra","verb","","","","praksis-verber-penge-b1","b1","","","","","8103"
"rette","rätta","verb","Læreren skal rette vores opgaver i weekenden.","Läraren ska rätta våra uppgifter i helgen.","","praksis-verber-laering-b1","b1","","","","","675"
"overhale","köra om","verb","","","","praksis-verber-rejse-b2","b2","","","","","22567"
"visne","vissna","verb","","","","praksis-verber-natur-b2","b2","","","","","21691"
"hjælpe","hjälpa","verb","Kan du hjælpe mig med at bære kasserne?","Kan du hjälpa mig att bära lådorna?","","praksis-verber-frekvente-b1","b1","","","","","178"
"indebære","innebära","verb","","","","praksis-verber-abstrakt-b2","b2","","","","","29739"
"bore","borra","verb","","","","praksis-verber-byggeri-b1","b1","","","","","9804"
"fare","fara, rusa","verb","Hun farer altid rundt og har travlt.","Hon rusar alltid omkring och har fullt upp.","","praksis-verber-bevaegelse2-b2","b2","","farer","","","855"
"gnaven","sur (vresig)","adj","","","","praksis-adjektiver-personlighed-b1","b1","","","","","10680"
"lille","liten","adj","De bor i et lille hus ved skoven.","De bor i ett litet hus vid skogen.","","praksis-adjektiver-udseende-b1","b1","","","","","164"
"gal","arg (galen)","adj","","","","praksis-adjektiver-foelelser-b1","b1","","","","","1422"
"yderligere","ytterligare","adj","","","","praksis-adjektiver-stoerrelse-b1","b1","","","","","3067"
"upåklagelig","oklanderlig (utmärkt)","adj","","","","praksis-adjektiver-kvalitet-b2","b2","","","","","31726"
"blæsende","blåsig","adj","","","","praksis-adjektiver-temperatur-b1","b1","","","","","33879"
"farverig","färgrik (färgglad)","adj","","","","praksis-adjektiver-farver-b1","b1","","","","","27641"
"blød","mjuk","adj","","","","praksis-adjektiver-form-b1","b1","","","","","3583"
"endelig","äntligen","adv","Nu er sommeren endelig kommet til Danmark.","Nu har sommaren äntligen kommit till Danmark.","","praksis-adjektiver-tid-b1","b1","","","","","612"
"uoverskuelig","oöverskådlig","adj","","","","praksis-adjektiver-svaerhed-b2","b2","","","","",""
"langsommelig","långdragen (seg)","adj","","","","praksis-adjektiver-fart-b2","b2","","","","",""
"fersk","fad (utan smak)","adj","","","","praksis-adjektiver-smag-b2","b2","falsk-ven","","","","11424"
"våd","våt","adj","","","","praksis-adjektiver-tilstand-b1","b1","","","","","3768"
"reserveret","reserverad (tillbakadragen)","adj","","","","praksis-adjektiver-social-b2","b2","","","","","7450"
"agurk","gurka","noun","","","","praksis-mad-grund-b1","b1","","","","","14943"
"vindrue","vindruva","noun","","","","praksis-mad-frugt-groent-b1","b1","","","","","36576"
"bøf","biff","noun","","","","praksis-mad-koed-fisk-b1","b1","","","","","5323"
"ovn","ugn","noun","","","","praksis-mad-bagvaerk-b1","b1","","","","","12907"
"hvidvin","vitt vin","noun","","","","praksis-drikke-b1","b1","","","","","15127"
"oplukker","flasköppnare (kapsylöppnare)","noun","","","","praksis-koekken-redskaber-b2","b2","","","","",""
"morgenmadsprodukt","frukostflingor","noun","","","","praksis-maaltider-restaurant-b2","b2","","","","",""
"væg","vägg","noun","","","","praksis-hus-rum-b1","b1","","","","","4838"
"sengetøj","sängkläder","noun","","","","praksis-moebler-b1","b1","","","","","15275"
"mikroovn","mikrovågsugn","noun","","","","praksis-husholdning-ting-b1","b1","","","","","31513"
"tørresnor","tvättlina","noun","","","","praksis-rengoering-b2","b2","","","","",""
"skjorte","skjorta","noun","","","","praksis-toej-b1","b1","","","","","3216"
"rygsæk","ryggsäck","noun","","","","praksis-sko-tilbehoer-b1","b1","","","","","6882"
"skulder","axel","noun","","","","praksis-krop-ydre-b1","b1","","","","","3845"
"pulsåre","pulsåder (artär)","noun","","","","praksis-krop-indre-b2","b2","","","","","29503"
"hoste","hosta","verb","","","","praksis-sundhed-sygdom-b1","b1","","","audio/da-049f130452188d.mp3","","8550"
"bedøvelse","bedövning","noun","","","","praksis-medicin-laege-b2","b2","","","","","11926"
"oldebarn","barnbarnsbarn","noun","","","","praksis-familie-b2","b2","","","","",""
"forhold","förhållande (relation)","noun","De har haft et godt forhold i mange år.","De har haft ett bra förhållande i många år.","","praksis-relationer-b1","b1","","","","","684"
"skyld","skuldkänsla","noun","Han følte stor skyld over ulykken.","Han kände stor skuld över olyckan.","","praksis-foelelser-navne-b1","b1","","skyldfølelse","","","286"
"selvsikkerhed","självsäkerhet","noun","","","","praksis-personlighed-navne-b2","b2","","","","","28191"
"ansøgning","ansökan","noun","","","","praksis-arbejde-kontor-b1","b1","","","audio/da-0b7886bf37595f.mp3","","7841"
"snedker","snickare","noun","","","","praksis-erhverv-jobs-b1","b1","","","","","32956"
"saks","sax","noun","","","","praksis-skole-uddannelse-b1","b1","","","","","7511"
"klasselokale","klassrum","noun","","","","praksis-universitet-fag-b1","b1","","klasseværelse","","","39696"
"overskud","överskott (vinst)","noun","","","","praksis-penge-oekonomi-b2","b2","","","","","7857"
"velstand","välstånd","noun","","","","praksis-bank-finans-b2","b2","","","","","14962"
"grønthandler","grönsakshandlare","noun","","","","praksis-indkoeb-butik-b2","b2","","","","",""
"knallert","moped","noun","","","","praksis-transport-koeretoejer-b2","b2","","","","","22533"
"genvej","genväg","noun","","","","praksis-trafik-vej-b1","b1","","","","","8067"
"udsigt","utsikt","noun","","","","praksis-rejse-turisme-b1","b1","","","","","4119"
"campingvogn","husvagn","noun","","","","praksis-ferie-fritid-b2","b2","","","","","15334"
"græs","gräs","noun","","","","praksis-natur-landskab-b1","b1","","","","","4221"
"blæst","blåst","noun","","","","praksis-vejr-klima-b1","b1","","","","","8068"
"orne","galt (avelssvin)","noun","","","","praksis-dyr-husdyr-b2","b2","","","","",""
"løve","lejon","noun","","","","praksis-dyr-vilde-b1","b1","","","","","6419"
"svale","svala","noun","","","","praksis-fugle-insekter-b2","b2","","","","","38525"
"gødning","gödsel","noun","","","","praksis-planter-have-b2","b2","","","","","12800"
"omkørsel","omledning (av trafik)","noun","","","","praksis-by-bygninger-b2","b2","","","","",""
"kloak","kloak (avlopp)","noun","","","","praksis-infrastruktur-b2","b2","","","","","14109"
"kodeord","lösenord","noun","","","","praksis-teknologi-computer-b1","b1","","adgangskode","","","7414"
"annonce","annons","noun","","","","praksis-internet-medier-b1","b1","","","","","10737"
"abonnement","abonnemang","noun","","","","praksis-telefon-komm-b1","b1","","","","","24331"
"læserbrev","insändare","noun","","","","praksis-nyheder-aviser-b2","b2","","","","",""
"nogensinde","någonsin","adv","Har du nogensinde været i København?","Har du någonsin varit i Köpenhamn?","","praksis-tid-kalender-b2","b2","","","","","407"
"sommerferie","sommarlov","noun","","","","praksis-ugedage-saesoner-b1","b1","","","","","20208"
"konkurrence","tävling","noun","","","","praksis-sport-motion-b1","b1","","","","","3795"
"vinder","vinnare","noun","Der kan kun være én vinder i spillet.","Det kan bara finnas en vinnare i spelet.","","praksis-hobby-spil-b1","b1","","","","","702"
"slå","slå (en trumma)","verb","Du må ikke slå din lillebror!","Du får inte slå din lillebror!","","praksis-musik-instrumenter-b1","b1","","","","","315"
"læse","läsa","verb","Jeg vil læse min bog færdig i weekenden.","Jag ska läsa klart min bok i helgen.","","praksis-kunst-kultur-b1","b1","","","","","721"
"sminke","smink","noun","","","","praksis-film-teater-b1","b1","","","","","12820"
"skikkelse","gestalt (figur)","noun","","","","praksis-boeger-litteratur-b2","b2","","","","","13024"
"sigtet","åtalad (misstänkt)","noun","","","","praksis-lov-kriminalitet-b2","b2","","","","","6107"
"dronning","drottning","noun","","","","praksis-politik-samfund-b1","b1","","","","","1746"
"afgørelse","beslut (avgörande)","noun","","","","praksis-stat-forvaltning-b2","b2","","","","","7464"
"sammenhæng","samband","noun","","","","praksis-videnskab-forskning-b2","b2","","","","","7197"
"halvdelen","hälften","noun","","","","praksis-matematik-tal-b1","b1","","","","","1457"
"frelser","frälsare","noun","","","","praksis-religion-tro-b2","b2","","","","","7499"
"tilstand","tillstånd","noun","","","","praksis-abstrakte-begreber-b2","b2","","","","","1991"
"klæde","tyg (kläde)","noun","","","","praksis-materialer-stoffer-b2","b2","","","","","3770"
"lim","lim (klister)","noun","","","","praksis-vaerktoej-diy-b1","b1","","","","","11366"
"puds","puts (murbruk)","noun","","","","praksis-byggeri-b2","b2","","","","","11030"
"gøde","gödsla","verb","","","","praksis-landbrug-b2","b2","","","","","45795"
"knivspids","knivsudd (en nypa)","noun","","","","praksis-maal-vaegt-b2","b2","","","","",""
"langt","långt","adv","Der er langt fra huset til stationen.","Det är långt från huset till stationen.","","praksis-retninger-placering-b1","b1","","","","","356"
"forening","förening","noun","","","","praksis-samfundsgrupper-b1","b1","","","","","10431"
"af og til","då och då","phrase","","","","praksis-adverbier-tid-b1","b1","","i ny og næ","","",""
"pænt","snyggt (prydligt)","adv","Han har ryddet pænt op på sit værelse.","Han har städat fint på sitt rum.","","praksis-adverbier-maade-b1","b1","","","","","920"
"næsten","nästan","adv","Jeg har næsten ikke sovet i nat.","Jag har nästan inte sovit i natt.","","praksis-adverbier-grad-b1","b1","","","","","359"
